id,type,capacity,floor,description
1,ONE_BEDROOM,2,9,Práctico piso de un dormitorio en planta baja con acceso directo.
2,ONE_BEDROOM,2,1,Luminoso estudio de una habitación con vistas al jardín interior.
3,ONE_BEDROOM,2,5,Práctico piso de un dormitorio en planta baja con acceso directo.
4,TWO_BEDROOM,4,1,Cómodo apartamento de dos dormitorios ideal para familias.
5,ONE_BEDROOM,2,1,Moderno apartamento de una habitación con cocina americana integrada.
6,ONE_BEDROOM,2,0,Moderno apartamento de una habitación con cocina americana integrada.
7,TWO_BEDROOM,4,5,Disfruta de un espacioso apartamento de dos habitaciones con vistas panorámicas.
8,ONE_BEDROOM,2,0,Compacto pero elegante apartamento de un dormitorio perfectamente equipado.
9,TWO_BEDROOM,4,10,Amplio apartamento de dos dormitorios con terraza y cocina moderna.
10,TWO_BEDROOM,4,6,Disfruta de un espacioso apartamento de dos habitaciones con vistas panorámicas.
11,ONE_BEDROOM,2,9,Compacto pero elegante apartamento de un dormitorio perfectamente equipado.
12,TWO_BEDROOM,4,5,Cómodo apartamento de dos dormitorios ideal para familias.
13,TWO_BEDROOM,4,5,Cómodo apartamento de dos dormitorios ideal para familias.
14,ONE_BEDROOM,2,2,Práctico piso de un dormitorio en planta baja con acceso directo.
15,ONE_BEDROOM,2,1,Acogedor apartamento de una habitación con diseño moderno y funcional.
16,TWO_BEDROOM,4,2,Cómodo apartamento de dos dormitorios ideal para familias.
17,ONE_BEDROOM,2,7,Compacto pero elegante apartamento de un dormitorio perfectamente equipado.
18,TWO_BEDROOM,4,2,Disfruta de un espacioso apartamento de dos habitaciones con vistas panorámicas.
19,TWO_BEDROOM,4,4,Espacioso piso de dos habitaciones con acabados de alta calidad.
20,TWO_BEDROOM,4,7,Cómodo apartamento de dos dormitorios ideal para familias.
21,TWO_BEDROOM,4,8,Elegante unidad de dos habitaciones con salón luminoso y baño completo.
22,TWO_BEDROOM,4,3,Espacioso piso de dos habitaciones con acabados de alta calidad.
23,ONE_BEDROOM,2,9,Moderno apartamento de una habitación con cocina americana integrada.
24,ONE_BEDROOM,2,7,Acogedor apartamento de una habitación con diseño moderno y funcional.
25,TWO_BEDROOM,4,4,Cómodo apartamento de dos dormitorios ideal para familias.
26,TWO_BEDROOM,4,8,Amplio apartamento de dos dormitorios con terraza y cocina moderna.
27,ONE_BEDROOM,2,10,Práctico piso de un dormitorio en planta baja con acceso directo.
28,ONE_BEDROOM,2,9,Luminoso estudio de una habitación con vistas al jardín interior.
29,TWO_BEDROOM,4,8,Disfruta de un espacioso apartamento de dos habitaciones con vistas panorámicas.
30,ONE_BEDROOM,2,3,Acogedor apartamento de una habitación con diseño moderno y funcional.
31,ONE_BEDROOM,2,7,Moderno apartamento de una habitación con cocina americana integrada.
32,ONE_BEDROOM,2,1,Práctico piso de un dormitorio en planta baja con acceso directo.
33,TWO_BEDROOM,4,3,Disfruta de un espacioso apartamento de dos habitaciones con vistas panorámicas.
34,ONE_BEDROOM,2,8,Práctico piso de un dormitorio en planta baja con acceso directo.
35,ONE_BEDROOM,2,3,Compacto pero elegante apartamento de un dormitorio perfectamente equipado.
36,TWO_BEDROOM,4,10,Disfruta de un espacioso apartamento de dos habitaciones con vistas panorámicas.
37,TWO_BEDROOM,4,10,Amplio apartamento de dos dormitorios con terraza y cocina moderna.
38,TWO_BEDROOM,4,1,Cómodo apartamento de dos dormitorios ideal para familias.
